gene,avg_methylation
AMPH,0.5144006507278508
AMT,0.6349504149728992
AMTN,0.653743473351401
AMY1A,0.5
AMY1B,0.5
AMY1C,0.5
ANAPC1,0.11655978997289973
ANAPC10,0.11048293607302916
ANAPC11,0.13211085045919907
ANAPC13,0.18084702235772337
ANAPC15,0.21238632888114595
ANAPC16,0.30123775797373337
ANAPC2,0.6096567827937054
ANAPC4,0.1016829171506
ANAPC5,0.17485486043898138
ANAPC7,0.12392026803861797
ANG,0.25067883660304
ANGPT1,0.6157883131864216
ANGPT2,0.7269531729900636
ANGPT4,0.3997881332082558
ANGPTL3,0.8047153794037933
ANGPTL4,0.1868800794530673
ANK1,0.4892479931170224
ANK2,0.5390134338186494
ANK3,0.702858750548968
ANKFY1,0.6251037688123663
ANKLE2,0.8166298557704047
ANKMY2,0.23009458200777666
ANKRA2,0.11556555301490526
ANKRD1,0.6836470731707309
ANKRD2,0.6784448014383988
ANKRD27,0.3995817327235774
ANKRD28,0.44704812084257217
ANKRD49,0.15020275984377493
ANKS4B,0.7406681345980128
ANKS6,0.4477213866305334
ANLN,0.2611734696317554
ANO1,0.6682950278465407
ANO10,0.3882738327379487
ANO6,0.3356729999623608
ANO8,0.36838273272112243
ANOS1,0.5
ANP32A,0.2745040607568476
ANP32B,0.08020634221619993
ANP32E,0.07601754629629635
ANPEP,0.5700547347300394
ANTXR1,0.5276275976092781
ANTXR2,0.5364071222564993
ANXA1,0.8243216463414624
ANXA11,0.41211961551490517
ANXA2,0.3187666575724413
ANXA5,0.2944279437669377
ANXA6,0.476311818729298
ANXA7,0.11233923959827824
AOC1,0.6185063426918609
AOC2,0.5666966154907095
AOC3,0.5751260957132301
AOPEP,0.5
AOX1,0.3216277119090634
AP1AR,0.24126392953929543
AP1B1,0.45605309394760585
AP1G1,0.296101436314363
AP1G2,0.28732569444444445
AP1M1,0.1788911585365853
AP1M2,0.2786812233836625
AP1S1,0.3387035036778939
AP1S2,0.2664780592036686
AP1S3,0.3515676575203249
AP2A1,0.5284115027100272
AP2A2,0.8033991883160876
AP2B1,0.3041354445909326
AP2M1,0.528202250521159
AP2S1,0.3049263365360927
AP3B1,0.2781779313459802
AP3B2,0.38483517389340555
AP3M1,0.2439923561294436
AP3M2,0.18870227384178592
AP3S1,0.16204306709550625
AP3S2,0.3598207844022884
AP4B1,0.06662647614354911
AP4E1,0.2219284943016839
AP4M1,0.1554982737691959
AP4S1,0.25529362161246605
AP5M1,0.07158502635575824
APAF1,0.12184530216802165
APBA1,0.4938243894628172
APBB1,0.22165074525745235
APBB1IP,0.41649137972262096
APBB2,0.47533266172715
APC,0.23941692670706563
APC2,0.35131258288646716
APCS,0.5772634214092138
APEH,0.24872723935915797
APEX1,0.13779639227642285
APEX2,0.2072678071364044
APH1A,0.1465485964069806
APH1B,0.15419279237023148
API5,0.24361937450986162
APIP,0.12754543717016142
APLF,0.3741092791811849
APLNR,0.5438548102981029
APLP1,0.3594259499209575
APLP2,0.5902653618337429
APOA1,0.47004676490514885
APOA2,0.6832478319783191
APOA4,0.7244890989159889
APOA5,0.6751027623798963
APOB,0.544189357932041
APOBEC1,0.6327763380758807
APOBEC3A,0.4342085044645596
APOBEC3F,0.5647209591560202
APOBEC3G,0.5169052139792233
APOC1,0.448507285456188
APOC2,0.7104608739837398
APOC3,0.6687328379065043
APOC4,0.7129797425474258
APOE,0.4636377394370536
APOF,0.8037653523035232
APOH,0.6610157012195123
APOL1,0.37764175377468084
APOM,0.255458502958187
APOO,0.29214158570088433
APOOL,0.25465342140921404
APP,0.43206449169162753
APPBP2,0.12070651709401696
APPL1,0.07966926967003167
APRT,0.21156504488482372
APTX,0.26277192411924105
AQP1,0.49115760124962354
AQP10,0.38372518631436375
AQP11,0.3088892475579978
AQP2,0.5953985941734422
AQP3,0.27838524841915036
AQP4,0.4336567835365857
AQP5,0.3511049062782292
AQP8,0.7653554732868764
AQR,0.3902488654841095
AR,0.4293720969445054
ARAP1,0.4592290773384562
ARAP2,0.3122888836772983
ARAP3,0.4111536331300813
ARCN1,0.21365413617886186
AREL1,0.44982600888017804
ARF3,0.3257667570009035
ARF4,0.14159912184698772
ARF5,0.23720048102981037
ARF6,0.09000919845736904
ARFGAP1,0.4864396571313859
ARFGAP2,0.1894842182862304
ARFGAP3,0.38547196685428425
ARFGEF1,0.3273887428014907
ARFGEF2,0.21695053184281865
ARFIP1,0.40569937282229934
ARFIP2,0.27461726324902136
ARFRP1,0.16845760649931066
ARG1,0.833747956187895
ARG2,0.1470765555256659
ARGLU1,0.28637771244676735
ARHGAP1,0.2873547903714334
ARHGAP10,0.5642833882013695
ARHGAP11A,0.18471026519550923
ARHGAP12,0.23169590261368542
ARHGAP15,0.7145435586534313
ARHGAP17,0.36818188177506755
ARHGAP19,0.22966605134364265
ARHGAP21,0.27931053336907025
ARHGAP22,0.4435831861190336
ARHGAP24,0.3825219245882845
ARHGAP25,0.6045420929313459
ARHGAP28,0.5106629821589883
ARHGAP29,0.28144199477351894
ARHGAP30,0.5572066056910573
ARHGAP31,0.46444208904979667
ARHGAP32,0.5931614803523034
ARHGAP36,0.41638850828949475
ARHGAP39,0.7369908917279651
ARHGAP4,0.3810959826927819
ARHGAP44,0.5192248197310819
ARHGAP45,0.5
ARHGAP5,0.18092005420054227
ARHGAP6,0.49387096568030436
ARHGAP8,0.3689551345334879
ARHGAP9,0.41010152902855956
ARHGDIA,0.25694057667782555
ARHGDIB,0.37589354336043346
ARHGDIG,0.5108852437856276
ARHGEF1,0.3544670330283657
ARHGEF10,0.7748120659136898
ARHGEF10L,0.6704560561015691
ARHGEF11,0.45762081074977373
ARHGEF12,0.34118568617001027
ARHGEF15,0.5074582655826565
ARHGEF16,0.6907498010724789
ARHGEF17,0.44830527269647685
ARHGEF18,0.6820988303173354
ARHGEF2,0.45575227081581166
ARHGEF25,0.5667028279186562
ARHGEF28,0.48067295228358026
ARHGEF3,0.46298286868462385
ARHGEF4,0.5582982468840422
ARHGEF40,0.4361832635899893
ARHGEF5,0.6878155939476057
ARHGEF6,0.46588944205324384
ARHGEF7,0.6380292342794527
ARHGEF9,0.4403864237320943
ARID1A,0.32867166525760694
ARID1B,0.6155725962063737
ARID2,0.3143488714957526
ARID3A,0.4579727291454087
ARID4A,0.10298498133884838
ARID5B,0.3869804550249111
ARIH1,0.28212237435681153
ARIH2,0.23464551209089
ARL1,0.05688113925370042
ARL13B,0.30716045901084027
ARL2,0.23765261686991837
ARL2BP,0.1215654584462514
ARL3,0.17652117469251621
ARL4D,0.2722080565234227
ARL6,0.14083211382113806
ARL6IP5,0.2807937204873942
ARL8A,0.25761559177611004
ARL8B,0.3025851654245709
ARNT,0.3373959438516261
ARNT2,0.5614143082916404
ARPC1A,0.2834764333838775
ARPC1B,0.44559460146773844
ARPC2,0.23809385162601632
ARPC3,0.14745942110809995
ARPC4,0.1835692183265583
ARPC5,0.1282928139114723
ARPC5L,0.09373870387742324
ARPP19,0.2309688475311956
ARR3,0.8062411980578137
ARRB1,0.6065613788875981
ARRB2,0.2714143577948937
ARRDC3,0.14357741803927765
ARSA,0.16193221675005204
ARSB,0.5108480924207615
ARSG,0.38347269035180015
ARSI,0.6095703194466587
ARSK,0.1783305782166073
ART3,0.7773458827200113
ASAH1,0.17850342365096472
ASAP1,0.639136569324729
ASAP2,0.6633645030267209
ASAP3,0.5406511864434116
ASB6,0.3600233333333335
ASB8,0.4098333163956637
ASCC1,0.4580974171714753
ASCC3,0.29649706930941694
ASCL1,0.2067592841606046
ASCL2,0.4528565114280011
ASCL3,0.7598163956639573
ASF1A,0.6612250451671179
ASF1B,0.11201098528842428
ASGR1,0.4347907431762226
ASGR2,0.6823612533875338
ASH1L,0.4265678305743391
ASH2L,0.17632209989461015
ASIC1,0.3629849713055953
ASIC2,0.4606670501232264
ASIC3,0.6730741889845373
ASL,0.31788326558265595
ASNS,0.16319522890727156
ASPA,0.7782261529501263
ASPH,0.5284527748574899
ASPHD1,0.4308821173699833
ASPM,0.12779998957681868
ASRGL1,0.5727023373983745
ASS1,0.47039696928636004
ASXL1,0.20365897326927823
ASXL2,0.3713657847192511
ASZ1,0.7598910842714196
ATAD2,0.20306239159891565
ATAD3A,0.6864903916426262
ATAD5,0.18334800038714635
ATF1,0.1455498721299023
ATF2,0.052696208502710014
ATF3,0.20812363514233428
ATF4,0.14673099593495942
ATF6,0.4278192912852634
