gene,HiC_1,HiC_2,HiC_3,HiC_4,HiC_5
AFAP1,-0.012645903,-0.011734551,-0.014064766,-0.01157386,-0.01659248
AFDN,-0.012643035,-0.011733543,-0.014055828,-0.011421013,-0.017065614
AFF1,-0.012653363,-0.011716859,-0.014097685,-0.01115005,-0.016999716
AFF4,-0.012633183,-0.01176628,-0.014041393,-0.011854055,-0.016217474
AFG3L2,-0.012634002,-0.011781995,-0.014053277,-0.011887272,-0.01603859
AFMID,-0.012635451,-0.011776971,-0.014056102,-0.01184464,-0.016104478
AGA,-0.012635725,-0.011774755,-0.014054496,-0.011832039,-0.0161224
AGAP2,-0.012635391,-0.011775831,-0.014053604,-0.011845698,-0.016105477
AGER,-0.012635602,-0.011774653,-0.01405367,-0.011833919,-0.016132064
AGFG1,-0.012634608,-0.011776327,-0.014045643,-0.011874976,-0.016021492
AGGF1,-0.0126328925,-0.011758836,-0.014037246,-0.011837037,-0.016327135
AGL,-0.012635398,-0.011775512,-0.014053743,-0.011844678,-0.016104352
AGMAT,-0.012635393,-0.011775761,-0.0140536465,-0.011845304,-0.016105555
AGMO,-0.012646858,-0.01173089,-0.013992429,-0.011687893,-0.01715681
AGO1,-0.0126353875,-0.011775793,-0.0140536465,-0.011845161,-0.016105333
AGO2,-0.01263655,-0.011771228,-0.014063376,-0.01180682,-0.016183611
AGO3,-0.012635384,-0.011775621,-0.0140537415,-0.011844663,-0.016104633
AGO4,-0.012635388,-0.011775788,-0.014053652,-0.011845189,-0.016105315
AGPAT1,-0.012635602,-0.011774653,-0.01405367,-0.011833919,-0.016132064
AGPAT2,-0.012635389,-0.011598033,-0.014053609,-0.011845606,-0.016105616
AGPAT3,-0.012635636,-0.011774237,-0.014051613,-0.011850616,-0.016146643
AGPAT4,-0.012744221,-0.011174046,-0.014084892,-0.0058029043,-0.029769413
AGPAT5,-0.012640667,-0.011748551,-0.014114276,-0.011690859,-0.016518824
AGPS,-0.012634785,-0.011774056,-0.014046507,-0.011857907,-0.016072527
AGR2,-0.012636729,-0.011770065,-0.014047237,-0.011826081,-0.01622659
AGR3,-0.01263604,-0.011776555,-0.014042379,-0.011887685,-0.01616079
