gene,missense_ratio,nonsense_ratio,frameshift_ratio,splice_ratio
ALPP,0.0,0.005434782608695652,0.0,0.005434782608695652
ALS2,0.0,0.0,0.0,0.0
ALS2CL,0.010869565217391304,0.0,0.0,0.0
ALYREF,0.0,0.0,0.0,0.0
AMACR,0.016304347826086956,0.0,0.0,0.0
AMBN,0.005434782608695652,0.0,0.0,0.0
AMBP,0.0,0.0,0.0,0.0
AMBRA1,0.021739130434782608,0.0,0.005434782608695652,0.0
AMD1,0.0,0.005434782608695652,0.0,0.0
AMDHD1,0.010869565217391304,0.0,0.0,0.0
AMELX,0.005434782608695652,0.0,0.0,0.0
AMFR,0.0,0.0,0.0,0.0
AMH,0.0,0.0,0.0,0.0
AMHR2,0.005434782608695652,0.0,0.0,0.0
AMN,0.0,0.0,0.0,0.0
AMOT,0.010869565217391304,0.0,0.0,0.0
AMOTL1,0.005434782608695652,0.0,0.005434782608695652,0.0
AMPD1,0.010869565217391304,0.0,0.0,0.0
AMPD3,0.0,0.0,0.0,0.0
AMPH,0.010869565217391304,0.0,0.0,0.0
AMT,0.0,0.0,0.0,0.0
AMTN,0.0,0.0,0.0,0.0
AMY1A,0.005434782608695652,0.0,0.0,0.0
AMY1B,0.0,0.0,0.0,0.0
AMY1C,0.005434782608695652,0.005434782608695652,0.0,0.0
ANAPC1,0.0,0.010869565217391304,0.0,0.0
ANAPC10,0.0,0.0,0.0,0.0
ANAPC11,0.0,0.0,0.0,0.0
ANAPC13,0.005434782608695652,0.0,0.0,0.0
ANAPC15,0.0,0.0,0.0,0.0
ANAPC16,0.0,0.0,0.0,0.0
ANAPC2,0.010869565217391304,0.0,0.0,0.0
ANAPC4,0.005434782608695652,0.0,0.0,0.0
ANAPC5,0.0,0.0,0.0,0.0
ANAPC7,0.005434782608695652,0.0,0.0,0.0
ANG,0.0,0.0,0.0,0.0
ANGPT1,0.02717391304347826,0.010869565217391304,0.0,0.0
ANGPT2,0.005434782608695652,0.0,0.0,0.0
ANGPT4,0.005434782608695652,0.0,0.0,0.0
ANGPTL3,0.005434782608695652,0.0,0.0,0.0
ANGPTL4,0.010869565217391304,0.0,0.0,0.0
ANK1,0.02717391304347826,0.0,0.0,0.0
ANK2,0.021739130434782608,0.0,0.005434782608695652,0.0
ANK3,0.043478260869565216,0.0,0.005434782608695652,0.0
ANKFY1,0.0,0.005434782608695652,0.0,0.0
ANKLE2,0.005434782608695652,0.0,0.0,0.0
ANKMY2,0.005434782608695652,0.005434782608695652,0.0,0.0
ANKRA2,0.010869565217391304,0.0,0.0,0.0
ANKRD1,0.0,0.0,0.0,0.0
ANKRD2,0.005434782608695652,0.0,0.0,0.0
ANKRD27,0.010869565217391304,0.0,0.0,0.0
ANKRD28,0.010869565217391304,0.0,0.0,0.0
ANKRD49,0.005434782608695652,0.0,0.0,0.0
ANKS4B,0.0,0.0,0.0,0.0
ANKS6,0.005434782608695652,0.0,0.0,0.0
ANLN,0.010869565217391304,0.0,0.0,0.0
ANO1,0.010869565217391304,0.0,0.0,0.0
ANO10,0.0,0.0,0.0,0.0
ANO6,0.010869565217391304,0.0,0.0,0.0
ANO8,0.010869565217391304,0.0,0.0,0.0
ANOS1,0.0,0.0,0.0,0.0
ANP32A,0.0,0.0,0.0,0.0
ANP32B,0.0,0.0,0.0,0.0
ANP32E,0.0,0.0,0.0,0.0
ANPEP,0.0,0.0,0.0,0.0
ANTXR1,0.010869565217391304,0.0,0.0,0.0
ANTXR2,0.0,0.0,0.0,0.0
ANXA1,0.0,0.0,0.0,0.0
ANXA11,0.010869565217391304,0.005434782608695652,0.0,0.0
ANXA2,0.005434782608695652,0.0,0.0,0.0
ANXA5,0.005434782608695652,0.005434782608695652,0.0,0.0
ANXA6,0.0,0.0,0.0,0.0
ANXA7,0.005434782608695652,0.0,0.0,0.0
AOC1,0.010869565217391304,0.0,0.0,0.0
AOC2,0.005434782608695652,0.005434782608695652,0.0,0.0
AOC3,0.016304347826086956,0.0,0.0,0.0
AOPEP,0.005434782608695652,0.0,0.0,0.0
AOX1,0.010869565217391304,0.0,0.0,0.0
AP1AR,0.0,0.0,0.0,0.0
AP1B1,0.005434782608695652,0.0,0.0,0.0
AP1G1,0.005434782608695652,0.0,0.0,0.0
AP1G2,0.010869565217391304,0.0,0.0,0.0
AP1M1,0.010869565217391304,0.0,0.005434782608695652,0.0
AP1M2,0.0,0.0,0.0,0.0
AP1S1,0.005434782608695652,0.0,0.0,0.0
AP1S2,0.0,0.0,0.0,0.0
AP1S3,0.0,0.0,0.0,0.0
AP2A1,0.0,0.0,0.0,0.0
AP2A2,0.0,0.0,0.0,0.0
AP2B1,0.016304347826086956,0.0,0.0,0.0
AP2M1,0.0,0.0,0.0,0.0
AP2S1,0.0,0.0,0.0,0.0
AP3B1,0.010869565217391304,0.0,0.005434782608695652,0.0
AP3B2,0.010869565217391304,0.0,0.0,0.0
AP3M1,0.0,0.0,0.0,0.0
AP3M2,0.0,0.0,0.0,0.0
AP3S1,0.0,0.0,0.0,0.0
AP3S2,0.0,0.0,0.0,0.0
AP4B1,0.005434782608695652,0.0,0.0,0.0
AP4E1,0.005434782608695652,0.0,0.0,0.0
AP4M1,0.005434782608695652,0.0,0.0,0.0
AP4S1,0.0,0.0,0.0,0.0
AP5M1,0.005434782608695652,0.0,0.0,0.0
APAF1,0.010869565217391304,0.0,0.0,0.0
APBA1,0.005434782608695652,0.0,0.0,0.0
APBB1,0.010869565217391304,0.0,0.005434782608695652,0.0
APBB1IP,0.010869565217391304,0.0,0.0,0.0
APBB2,0.005434782608695652,0.0,0.0,0.0
APC,0.016304347826086956,0.0,0.02717391304347826,0.0
APC2,0.016304347826086956,0.0,0.0,0.0
APCS,0.0,0.0,0.0,0.0
APEH,0.016304347826086956,0.0,0.0,0.0
APEX1,0.005434782608695652,0.0,0.0,0.0
APEX2,0.005434782608695652,0.0,0.0,0.0
APH1A,0.0,0.0,0.005434782608695652,0.0
APH1B,0.005434782608695652,0.0,0.0,0.0
API5,0.0,0.0,0.0,0.0
APIP,0.0,0.0,0.0,0.0
APLF,0.0,0.0,0.0,0.0
APLNR,0.010869565217391304,0.0,0.0,0.0
APLP1,0.010869565217391304,0.0,0.0,0.0
APLP2,0.005434782608695652,0.0,0.0,0.0
APOA1,0.005434782608695652,0.0,0.0,0.0
APOA2,0.0,0.0,0.0,0.0
APOA4,0.0,0.0,0.0,0.0
APOA5,0.005434782608695652,0.0,0.0,0.0
APOB,0.04891304347826087,0.010869565217391304,0.005434782608695652,0.005434782608695652
APOBEC1,0.005434782608695652,0.0,0.0,0.0
APOBEC3A,0.0,0.0,0.0,0.0
APOBEC3F,0.0,0.0,0.0,0.0
APOBEC3G,0.005434782608695652,0.0,0.0,0.0
APOC1,0.0,0.0,0.0,0.0
APOC2,0.0,0.0,0.0,0.0
APOC3,0.005434782608695652,0.0,0.0,0.0
APOC4,0.0,0.0,0.0,0.0
APOE,0.005434782608695652,0.0,0.0,0.0
APOF,0.0,0.0,0.0,0.0
APOH,0.005434782608695652,0.0,0.0,0.0
APOL1,0.0,0.0,0.0,0.0
APOM,0.0,0.0,0.0,0.0
APOO,0.0,0.0,0.0,0.0
APOOL,0.0,0.0,0.0,0.0
APP,0.010869565217391304,0.0,0.0,0.0
APPBP2,0.005434782608695652,0.0,0.0,0.0
APPL1,0.005434782608695652,0.0,0.005434782608695652,0.0
APRT,0.0,0.0,0.0,0.0
APTX,0.0,0.0,0.0,0.0
AQP1,0.005434782608695652,0.0,0.0,0.0
AQP10,0.005434782608695652,0.0,0.0,0.0
AQP11,0.0,0.0,0.0,0.0
AQP2,0.0,0.0,0.0,0.0
AQP3,0.005434782608695652,0.0,0.0,0.0
AQP4,0.0,0.0,0.0,0.0
AQP5,0.0,0.0,0.0,0.0
AQP8,0.0,0.0,0.0,0.0
AQR,0.016304347826086956,0.0,0.0,0.0
AR,0.005434782608695652,0.0,0.0,0.0
ARAP1,0.0,0.0,0.0,0.0
ARAP2,0.016304347826086956,0.010869565217391304,0.005434782608695652,0.0
ARAP3,0.005434782608695652,0.0,0.0,0.0
ARCN1,0.010869565217391304,0.0,0.0,0.0
AREL1,0.0,0.0,0.0,0.0
ARF3,0.0,0.0,0.0,0.0
ARF4,0.0,0.0,0.005434782608695652,0.0
ARF5,0.0,0.0,0.0,0.0
ARF6,0.005434782608695652,0.0,0.0,0.0
ARFGAP1,0.0,0.0,0.0,0.0
ARFGAP2,0.0,0.0,0.0,0.0
ARFGAP3,0.0,0.0,0.0,0.0
ARFGEF1,0.005434782608695652,0.0,0.0,0.0
ARFGEF2,0.016304347826086956,0.0,0.0,0.0
ARFIP1,0.0,0.0,0.0,0.0
ARFIP2,0.0,0.0,0.0,0.0
ARFRP1,0.0,0.0,0.0,0.0
ARG1,0.0,0.0,0.0,0.0
ARG2,0.0,0.005434782608695652,0.0,0.0
ARGLU1,0.005434782608695652,0.0,0.0,0.0
